Timestamp,Email Address,Name (Full Name),Email ID,Student ID,I identify as...,Which day would you prefer the date to be on?,Which year are you in?,I would like to go on a date with someone who is...,I want to go on a...,I want a...,I am interested in...,I like to be adventurous.,I believe in true love.,I am confident.,I am looking for something serious.,I like to have intellectual conversations.,I like talking about my feelings and emotions.,I am an extrovert.,I care about the environment.,I like to dance.,I have a strong connection with religion.,"On a Friday night, I would be most likely out clubbing.",I believe being close to your family is important.,I like to travel.,I tend to swear a lot.,I am always very organised and tidy.,I believe commitment is the most important factor in a relationship.,I tend to prioritize my academic life over my social life.,I like discussing books or/and movies.,I am laid back.,I like sarcastic people.,I tend to base my decisions on feelings rather than rational thinking.,"In a heated argument, I am okay with being proven wrong and/or change my view based on what my opponent has said.",Healthy living is important to me.,I believe actions speak louder than words.,I am passionate about talking about politics,It's important for my partner to share the same morals as me.,I am a romantic.,I like to be adventurous.,I am confident.,I like to have intellectual conversations.,I like talking about my feelings and emotions.,I am an extrovert.,I care about the environment.,I like to dance.,I have a strong connection with religion.,"On a Friday night, I would be most likely out clubbing.",I believe being close to your family is important.,I like to travel.,I tend to swear a lot.,I am always very organised and tidy.,I tend to prioritize my academic life over my social life.,I like discussing books or/and movies.,I am laid back.,I like sarcastic people.,I tend to base my decisions on feelings rather than rational thinking.,"In a heated argument, I am okay with being proven wrong and/or change my view based on what my opponent has said.",Healthy living is important to me.,I believe actions speak louder than words.,I am passionate about talking about politics,It's important for my friends to share the same morals as me.,I am more interested in STEM subjects than humanities.
11/13/2022 22:49:49,PX37@warwick.ac.uk,PX37,PX37@warwick.ac.uk,20194,Man,Either,1st Year,Same year as me,Romantic Date,One-on-one date,Women,3,3,4,4,5,4,3,4,3,3,1,4,4,2,5,4,3,5,4,4,2,5,5,5,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2022 23:16:16,LI54@warwick.ac.uk,LI54,LI54@warwick.ac.uk,27800,Man,Either,,,Romantic Date,One-on-one date,Women,5,4,5,3,4,4,4,2,4,3,4,5,5,1,3,3,3,4,2,1,3,5,4,4,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2022 23:20:59,HG41@warwick.ac.uk,HG41,HG41@warwick.ac.uk,22969,Woman,"Thursday, 24th Nov",3rd Year,Same year as me,Romantic Date,One-on-one date,Men,4,5,3,4,4,3,2,3,3,1,3,4,5,1,4,5,4,4,2,4,2,4,5,3,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2022 23:23:22,HW41@warwick.ac.uk,HW41,HW41@warwick.ac.uk,25558,Woman,"Wednesday, 23rd Nov",1st Year,Same year as me,Friend Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,5,2,2,2,1,5,1,5,5,2,1,2,3,4,4,2,3,3,1,5,2
11/13/2022 23:23:57,HJ52@warwick.ac.uk,HJ52,HJ52@warwick.ac.uk,24286,Woman,"Wednesday, 23rd Nov",1st Year,Open to any year,Friend Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,2,3,3,4,3,3,5,5,2,4,3,5,4,5,2,2,2,4,3,4,1
11/13/2022 23:26:20,PP20@warwick.ac.uk,PP20,PP20@warwick.ac.uk,28096,Woman,"Thursday, 24th Nov",1st Year,Open to any year,Romantic Date,Double date (Matched with another date pair),Men,4,3,5,3,4,5,5,3,5,1,5,4,5,4,3,4,2,5,3,4,3,2,3,4,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2022 23:28:11,XN88@warwick.ac.uk,XN88,XN88@warwick.ac.uk,26968,Woman,"Thursday, 24th Nov",1st Year,Open to any year,Romantic Date,Double date (Matched with another date pair),Men,4,4,4,3,5,5,4,4,5,1,3,4,4,2,3,3,2,5,3,4,3,3,3,4,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2022 23:28:27,CX84@warwick.ac.uk,CX84,CX84@warwick.ac.uk,23811,Woman,"Wednesday, 23rd Nov",1st Year,Same year as me,Romantic Date,Double date (Matched with another date pair),Everyone,4,4,4,2,4,3,4,3,3,1,3,3,3,5,1,3,2,4,4,4,3,4,3,4,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2022 23:35:16,GC22@warwick.ac.uk,GC22,GC22@warwick.ac.uk,21545,Man,"Wednesday, 23rd Nov",1st Year,Open to any year,Romantic Date,One-on-one date,Men,4,4,4,2,5,3,4,4,5,2,4,4,5,2,2,5,2,5,5,4,2,4,2,4,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 0:04:51,GJ64@warwick.ac.uk,GJ64,GJ64@warwick.ac.uk,22329,Man,"Wednesday, 23rd Nov",3rd Year,Open to any year,Romantic Date,One-on-one date,Women,4,3,4,3,4,3,3,2,2,2,3,5,5,3,4,4,3,3,3,2,2,4,4,4,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 0:14:06,JM58@warwick.ac.uk,JM58,JM58@warwick.ac.uk,26872,Woman,"Thursday, 24th Nov",1st Year,Open to any year,Friend Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,3,4,3,4,3,5,3,4,2,2,5,4,2,3,4,4,1,3,5,2,2,3
11/14/2022 0:24:35,ZL25@warwick.ac.uk,ZL25,ZL25@warwick.ac.uk,24275,Man,"Wednesday, 23rd Nov",3rd Year,Open to any year,Romantic Date,One-on-one date,Women,4,4,4,3,5,2,3,2,4,4,1,5,4,5,4,3,3,5,5,3,2,4,5,5,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 0:28:16,RC21@warwick.ac.uk,RC21,RC21@warwick.ac.uk,22020,Woman,"Thursday, 24th Nov",3rd Year,Same year as me,Romantic Date,One-on-one date,Men,4,4,4,4,5,4,3,5,5,2,3,5,5,3,5,4,3,4,3,5,3,4,5,5,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 0:42:09,ND62@warwick.ac.uk,ND62,ND62@warwick.ac.uk,23993,Woman,"Thursday, 24th Nov",Postgraduate,Open to any year,Romantic Date,One-on-one date,Men,5,5,4,4,4,4,5,4,4,1,4,4,5,3,3,4,3,4,4,4,2,4,4,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 0:53:32,JW69@warwick.ac.uk,JW69,JW69@warwick.ac.uk,28992,Woman,"Thursday, 24th Nov",1st Year,Same year as me,Romantic Date,One-on-one date,Men,4,5,4,5,4,5,3,4,4,5,2,5,5,1,4,5,3,3,1,1,2,3,5,5,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 0:58:15,BR38@warwick.ac.uk,BR38,BR38@warwick.ac.uk,27607,Man,Either,2nd Year,Open to any year,Romantic Date,One-on-one date,Women,5,1,5,1,1,1,1,1,5,5,5,1,1,5,5,1,1,5,5,5,1,1,1,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 1:50:04,QU48@warwick.ac.uk,QU48,QU48@warwick.ac.uk,23164,Woman,"Wednesday, 23rd Nov",1st Year,Open to any year,Romantic Date,One-on-one date,Men,4,2,4,2,4,1,3,3,3,1,2,5,4,3,3,4,3,5,3,4,2,1,5,4,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 2:27:49,QG82@warwick.ac.uk,QG82,QG82@warwick.ac.uk,22270,Man,Either,1st Year,Same year as me,Romantic Date,One-on-one date,Women,4,3,4,5,5,3,3,2,1,3,1,5,3,4,5,5,4,2,3,3,1,5,5,5,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 3:11:48,NY23@warwick.ac.uk,NY23,NY23@warwick.ac.uk,28416,Man,"Thursday, 24th Nov",1st Year,Open to any year,Romantic Date,One-on-one date,Women,3,1,1,2,4,1,1,4,3,1,1,1,5,5,2,4,4,4,4,3,2,4,3,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 8:27:47,WL17@warwick.ac.uk,WL17,WL17@warwick.ac.uk,22438,Man,Either,1st Year,Same year as me,Romantic Date,One-on-one date,Women,4,3,3,3,4,4,3,4,3,1,3,4,4,3,2,4,3,4,4,3,3,4,3,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 8:32:27,ZY74@warwick.ac.uk,ZY74,ZY74@warwick.ac.uk,28034,Woman,"Thursday, 24th Nov",1st Year,Open to any year,Romantic Date,One-on-one date,Men,5,5,4,5,4,5,4,4,3,3,2,5,4,5,3,5,3,3,2,3,4,3,3,5,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 10:42:16,WW87@warwick.ac.uk,WW87,WW87@warwick.ac.uk,23274,Woman,"Wednesday, 23rd Nov",2nd Year,Open to any year,Romantic Date,One-on-one date,Men,3,5,4,4,5,5,3,4,5,3,3,4,5,5,3,3,3,4,3,3,3,4,4,5,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 10:42:28,UR17@warwick.ac.uk,UR17,UR17@warwick.ac.uk,21519,Woman,"Thursday, 24th Nov",2nd Year,Same year as me,Romantic Date,One-on-one date,Men,5,3,5,3,4,2,5,3,4,1,5,5,5,3,5,4,4,4,4,2,4,5,4,4,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 11:47:11,DJ67@warwick.ac.uk,DJ67,DJ67@warwick.ac.uk,25602,Woman,"Thursday, 24th Nov",1st Year,Open to any year,Romantic Date,One-on-one date,Men,4,3,4,3,4,3,4,4,5,1,4,5,5,4,3,3,3,5,4,5,4,5,5,4,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 11:50:48,WB13@warwick.ac.uk,WB13,WB13@warwick.ac.uk,20655,Man,Either,3rd Year,Open to any year,Romantic Date,One-on-one date,Women,4,2,3,3,4,4,2,2,1,3,1,4,3,4,3,5,5,4,3,4,2,4,4,4,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 11:51:12,OA87@warwick.ac.uk,OA87,OA87@warwick.ac.uk,21045,Woman,"Wednesday, 23rd Nov",3rd Year,Different year as me,Friend Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,5,4,3,2,1,2,4,5,3,2,3,3,4,5,4,4,5,5,1,2,3
11/14/2022 12:37:35,DQ74@warwick.ac.uk,DQ74,DQ74@warwick.ac.uk,20558,Woman,Either,1st Year,Same year as me,Romantic Date,One-on-one date,Men,5,4,5,2,3,5,5,2,5,2,4,5,5,4,4,5,4,4,1,1,5,2,4,4,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 12:41:23,KK56@warwick.ac.uk,KK56,KK56@warwick.ac.uk,20156,Woman,Either,2nd Year,Open to any year,Romantic Date,Double date (Matched with another date pair),Men,4,3,4,4,4,4,4,4,4,3,2,4,4,2,3,3,3,4,2,3,3,3,4,5,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 13:57:17,FX83@warwick.ac.uk,FX83,FX83@warwick.ac.uk,23741,Woman,"Wednesday, 23rd Nov",1st Year,Open to any year,Romantic Date,Double date (Matched with another date pair),Men,4,4,4,2,3,2,4,3,3,1,5,4,5,3,2,4,2,3,4,4,3,4,4,4,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 15:24:39,HF91@warwick.ac.uk,HF91,HF91@warwick.ac.uk,28600,Woman,"Wednesday, 23rd Nov",1st Year,Open to any year,Romantic Date,Double date (Matched with another date pair),Men,4,4,3,2,4,4,3,5,5,1,5,4,5,3,1,3,2,3,4,3,2,3,3,5,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 16:35:27,IE25@warwick.ac.uk,IE25,IE25@warwick.ac.uk,28557,Man,"Wednesday, 23rd Nov",3rd Year,Open to any year,Romantic Date,One-on-one date,Women,4,4,4,4,4,4,3,4,2,2,2,4,4,3,3,4,3,3,3,4,3,3,3,3,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 18:24:57,FV62@warwick.ac.uk,FV62,FV62@warwick.ac.uk,27472,Woman,"Wednesday, 23rd Nov",2nd Year,Open to any year,Romantic Date,One-on-one date,Men,3,4,4,4,4,3,2,1,3,3,5,5,5,2,4,5,1,1,4,2,3,4,2,5,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 18:25:06,UM81@warwick.ac.uk,UM81,UM81@warwick.ac.uk,26820,Woman,"Wednesday, 23rd Nov",2nd Year,Open to any year,Romantic Date,One-on-one date,Men,4,5,5,4,2,4,4,2,4,4,5,5,5,2,3,5,4,3,2,4,5,1,4,5,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 18:55:59,UT64@warwick.ac.uk,UT64,UT64@warwick.ac.uk,26434,Woman,"Thursday, 24th Nov",1st Year,Open to any year,Romantic Date,One-on-one date,Men,5,5,5,5,5,3,5,3,2,2,5,3,4,5,1,4,2,5,4,5,3,1,3,4,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 19:07:01,MH23@warwick.ac.uk,MH23,MH23@warwick.ac.uk,23469,Woman,Either,2nd Year,Same year as me,Romantic Date,One-on-one date,Men,4,4,5,3,4,4,5,4,1,2,2,5,5,2,5,5,5,2,3,1,4,4,5,5,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 19:29:05,RX40@warwick.ac.uk,RX40,RX40@warwick.ac.uk,23917,Woman,"Wednesday, 23rd Nov",1st Year,Open to any year,Romantic Date,One-on-one date,Men,4,4,3,2,4,3,4,4,4,1,4,3,4,4,2,4,3,3,4,4,4,4,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 19:29:33,ZE61@warwick.ac.uk,ZE61,ZE61@warwick.ac.uk,25309,Man,"Thursday, 24th Nov",1st Year,Open to any year,Romantic Date,One-on-one date,Women,5,3,5,4,4,1,5,4,4,2,3,4,5,3,4,4,3,5,3,4,2,4,5,5,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 19:30:06,JB68@warwick.ac.uk,JB68,JB68@warwick.ac.uk,20422,Woman,"Wednesday, 23rd Nov",1st Year,Open to any year,Romantic Date,One-on-one date,Men,4,5,3,2,4,5,3,2,5,5,2,5,5,1,4,3,3,5,4,1,1,4,3,5,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 19:30:12,UK87@warwick.ac.uk,UK87,UK87@warwick.ac.uk,25993,Man,Either,2nd Year,Open to any year,Romantic Date,One-on-one date,Men,5,3,4,4,4,3,4,3,5,3,4,5,3,5,3,5,3,5,3,5,3,2,3,5,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 19:32:50,LA70@warwick.ac.uk,LA70,LA70@warwick.ac.uk,28820,Woman,"Wednesday, 23rd Nov",1st Year,Different year as me,Romantic Date,One-on-one date,Men,4,2,5,2,4,3,5,3,5,1,4,4,5,5,3,2,3,4,5,5,3,4,3,5,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 19:58:46,SV99@warwick.ac.uk,SV99,SV99@warwick.ac.uk,20655,Woman,"Wednesday, 23rd Nov",1st Year,Open to any year,Romantic Date,One-on-one date,Men,4,2,4,3,3,1,4,3,3,1,5,3,4,5,3,4,3,4,4,5,2,2,2,4,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022 23:21:34,UX59@warwick.ac.uk,UX59,UX59@warwick.ac.uk,24764,Woman,"Wednesday, 23rd Nov",3rd Year,Same year as me,Friend Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,3,2,3,1,3,3,4,5,3,4,3,4,4,4,3,3,5,5,4,3,3
11/14/2022 23:58:14,TL81@warwick.ac.uk,TL81,TL81@warwick.ac.uk,24858,Man,Either,Postgraduate,Open to any year,Romantic Date,One-on-one date,Women,5,5,4,3,3,3,4,3,4,4,4,5,5,4,4,5,4,5,5,5,5,4,4,5,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2022 0:05:28,BG91@warwick.ac.uk,BG91,BG91@warwick.ac.uk,23671,Woman,Either,1st Year,Open to any year,Romantic Date,One-on-one date,Men,2,1,3,2,4,3,2,4,2,2,3,4,4,5,5,4,2,4,2,4,5,1,3,4,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2022 0:52:20,YF60@warwick.ac.uk,YF60,YF60@warwick.ac.uk,27775,Man,Either,Postgraduate,Open to any year,Romantic Date,One-on-one date,Women,4,5,3,5,3,5,3,4,4,2,3,3,3,4,3,4,4,4,3,3,4,5,4,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2022 14:24:38,OY52@warwick.ac.uk,OY52,OY52@warwick.ac.uk,24328,Woman,"Wednesday, 23rd Nov",3rd Year,Same year as me,Friend Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,5,3,5,3,1,2,4,3,4,4,3,4,4,5,3,4,3,4,4,4,1
11/15/2022 15:02:49,IX24@warwick.ac.uk,IX24,IX24@warwick.ac.uk,27742,Man,Either,3rd Year,Open to any year,Romantic Date,One-on-one date,Women,4,5,4,4,5,4,4,4,3,2,2,4,5,4,3,4,4,5,4,5,3,2,2,2,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2022 17:16:24,SZ44@warwick.ac.uk,SZ44,SZ44@warwick.ac.uk,23602,Man,"Thursday, 24th Nov",2nd Year,Open to any year,Romantic Date,One-on-one date,Women,5,4,4,5,5,3,3,2,1,3,3,5,5,1,3,5,3,1,3,2,3,3,5,5,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2022 19:15:34,IX79@warwick.ac.uk,IX79,IX79@warwick.ac.uk,25792,Woman,"Wednesday, 23rd Nov",1st Year,Open to any year,Friend Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,2,5,5,1,4,3,5,4,3,4,5,4,5,2,2,2,5,4,4,2
11/15/2022 20:32:09,VW27@warwick.ac.uk,VW27,VW27@warwick.ac.uk,23139,Man,"Thursday, 24th Nov",2nd Year,Open to any year,Romantic Date,One-on-one date,Women,4,3,5,3,5,4,5,4,5,1,1,4,5,3,2,4,3,4,4,4,3,4,4,4,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2022 1:06:07,HR64@warwick.ac.uk,HR64,HR64@warwick.ac.uk,26208,Man,"Thursday, 24th Nov",Postgraduate,Open to any year,Romantic Date,One-on-one date,Women,5,5,3,3,4,4,5,4,5,2,4,4,5,4,2,4,1,3,5,4,4,5,3,4,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2022 2:27:30,DH79@warwick.ac.uk,DH79,DH79@warwick.ac.uk,20632,Man,Either,1st Year,Open to any year,Romantic Date,One-on-one date,Women,3,5,3,3,4,5,1,3,3,4,2,5,3,4,2,4,4,5,5,4,2,5,4,5,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2022 2:55:48,DO40@warwick.ac.uk,DO40,DO40@warwick.ac.uk,23781,Woman,"Wednesday, 23rd Nov",1st Year,Same year as me,Friend Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,2,3,3,1,2,3,3,3,3,2,4,5,3,2,4,3,3,2,4,1
11/16/2022 12:40:05,RJ44@warwick.ac.uk,RJ44,RJ44@warwick.ac.uk,27435,Woman,"Wednesday, 23rd Nov",1st Year,Same year as me,Romantic Date,One-on-one date,Men,5,5,5,5,5,5,4,4,2,3,1,5,5,2,2,5,3,3,3,3,4,3,4,5,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2022 13:12:01,IA80@warwick.ac.uk,IA80,IA80@warwick.ac.uk,25917,Man,"Wednesday, 23rd Nov",1st Year,Same year as me,Romantic Date,One-on-one date,Women,3,2,4,3,4,4,2,3,2,1,1,4,4,1,4,4,4,4,3,4,3,5,4,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2022 19:18:58,ET76@warwick.ac.uk,ET76,ET76@warwick.ac.uk,20399,Man,"Wednesday, 23rd Nov",1st Year,Open to any year,Romantic Date,One-on-one date,Women,5,3,4,3,4,4,5,3,4,5,4,5,2,1,4,4,2,3,5,5,5,5,4,5,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2022 19:21:48,HM71@warwick.ac.uk,HM71,HM71@warwick.ac.uk,22601,Man,"Thursday, 24th Nov",4th Year,Same year as me,Romantic Date,One-on-one date,Everyone,4,3,4,4,5,5,4,5,3,1,3,4,3,3,2,3,2,4,4,1,3,5,3,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2022 20:22:35,FP84@warwick.ac.uk,FP84,FP84@warwick.ac.uk,20719,Woman,Either,2nd Year,Open to any year,Romantic Date,One-on-one date,Men,3,3,3,4,4,4,3,4,4,1,1,4,3,2,4,4,4,3,3,2,2,3,4,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2022 21:28:19,IX58@warwick.ac.uk,IX58,IX58@warwick.ac.uk,20230,Woman,"Wednesday, 23rd Nov",2nd Year,Open to any year,Romantic Date,One-on-one date,Men,4,3,3,3,4,3,3,4,4,5,2,5,5,3,4,4,4,4,3,4,2,3,4,5,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2022 21:28:19,XJ18@warwick.ac.uk,XJ18,XJ18@warwick.ac.uk,27994,Woman,"Wednesday, 23rd Nov",2nd Year,Open to any year,Romantic Date,One-on-one date,Men,5,2,4,3,5,3,4,5,5,2,4,5,4,3,2,4,3,5,3,4,4,3,4,5,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,
